Date,AAPL,GOOGL,MSFT
2010-01-04,6.447411060333252,15.645691871643066,23.30067253112793
2010-01-05,6.458559036254883,15.576793670654297,23.308202743530273
2010-01-06,6.355825424194336,15.184123992919922,23.1651611328125
2010-01-07,6.344076633453369,14.830643653869629,22.92426300048828
2010-01-08,6.386253356933594,15.028352737426758,23.082351684570312
2010-01-11,6.329919338226318,15.005637168884277,22.78874397277832
2010-01-12,6.257912635803223,14.740277290344238,22.638168334960938
2010-01-13,6.346187114715576,14.655652046203613,22.84897232055664
2010-01-14,6.3094305992126465,14.724550247192383,23.308202743530273
2010-01-15,6.203989028930664,14.478663444519043,23.232929229736328
2010-01-19,6.47844123840332,14.668882369995117,23.41361427307129
2010-01-20,6.378723621368408,14.488897323608398,23.029659271240234
2010-01-21,6.268460273742676,14.553053855895996,22.592998504638672
2010-01-22,5.957551002502441,13.730016708374023,21.80251121520996
2010-01-25,6.117825984954834,13.480134963989258,22.073537826538086
2010-01-26,6.204289436340332,13.540545463562012,22.20905113220215
2010-01-27,6.262735366821289,13.532557487487793,22.3370304107666
2010-01-28,6.0039472579956055,13.337594985961914,21.953083038330078
2010-01-29,5.786130905151367,13.229004859924316,21.21529197692871
2010-02-01,5.8665690422058105,13.305891036987305,21.388444900512695
2010-02-02,5.900612831115723,13.258460998535156,21.426088333129883
2010-02-03,6.002137184143066,13.500603675842285,21.5540714263916
2010-02-04,5.785828590393066,13.150121688842773,20.95932388305664
2010-02-05,5.888561725616455,13.262704849243164,21.094837188720703
2010-02-08,5.8481926918029785,13.317123413085938,20.868980407714844
2010-02-09,5.9105544090271,13.391264915466309,21.087303161621094
2010-02-10,5.87831974029541,13.341588973999023,21.07225227355957
2010-02-11,5.9852681159973145,13.390266418457031,21.170122146606445
2010-02-12,6.0367865562438965,13.308387756347656,21.02707290649414
2010-02-16,6.127767562866211,13.512587547302246,21.44308090209961
2010-02-17,6.1021623611450195,13.435450553894043,21.62461280822754
2010-02-18,6.1136088371276855,13.560516357421875,21.912029266357422
2010-02-19,6.075648307800293,13.499106407165527,21.760759353637695
2010-02-22,6.037991523742676,13.550031661987305,21.730501174926758
2010-02-23,5.936763763427734,13.357065200805664,21.427949905395508
2010-02-24,6.045220851898193,13.26719856262207,21.654865264892578
2010-02-25,6.0855913162231445,13.14138412475586,21.632165908813477
2010-02-26,6.164522647857666,13.150619506835938,21.68511199951172
2010-03-01,6.296175003051758,13.297654151916504,21.949840545654297
2010-03-02,6.291958808898926,13.506595611572266,21.526281356811523
2010-03-03,6.306419372558594,13.612939834594727,21.526281356811523
2010-03-04,6.347992897033691,13.844347953796387,21.654865264892578
2010-03-05,6.596240043640137,14.084493637084961,21.62461280822754
2010-03-08,6.60015344619751,14.04130744934082,21.654865264892578
2010-03-09,6.7188544273376465,13.984142303466797,21.7834415435791
2010-03-10,6.773683071136475,14.390044212341309,21.912029266357422
2010-03-11,6.79356575012207,14.507121086120605,22.07086181640625
2010-03-12,6.826706409454346,14.467179298400879,22.138940811157227
2010-03-15,6.743558406829834,14.058782577514648,22.1540584564209
2010-03-16,6.76193380355835,14.109207153320312,22.214569091796875
2010-03-17,6.751994609832764,14.118194580078125,22.411231994628906
2010-03-18,6.7679595947265625,14.139163970947266,22.39609718322754
2010-03-19,6.695655822753906,13.979398727416992,22.3809757232666
2010-03-22,6.770972728729248,13.916990280151367,22.388538360595703
2010-03-23,6.879729270935059,13.704803466796875,22.60032081604004
2010-03-24,6.910158634185791,13.912747383117676,22.426353454589844
2010-03-25,6.828213214874268,14.05129337310791,22.698650360107422
2010-03-26,6.956252098083496,14.046549797058105,22.43392562866211
2010-03-29,7.001139163970947,14.040558815002441,22.3809757232666
2010-03-30,7.105377674102783,14.146902084350586,22.517127990722656
2010-03-31,7.079770565032959,14.157136917114258,22.1540584564209
2010-04-01,7.1089959144592285,14.199074745178223,22.055742263793945
2010-04-05,7.184911727905273,14.254244804382324,22.138940811157227
2010-04-06,7.21654748916626,14.184596061706543,22.176759719848633
2010-04-07,7.248480319976807,14.067769050598145,22.199453353881836
2010-04-08,7.228899002075195,14.166373252868652,22.630578994750977
2010-04-09,7.284331321716309,14.13467025756836,22.94824981689453
2010-04-12,7.299394130706787,14.297181129455566,22.93313217163086
2010-04-13,7.3036112785339355,14.647664070129395,23.031463623046875
2010-04-14,7.401823043823242,14.703332901000977,23.31131362915039
2010-04-15,7.499136447906494,14.860599517822266,23.34913444519043
2010-04-16,7.453342914581299,13.733511924743652,23.197856903076172
2010-04-19,7.443399906158447,13.73226261138916,23.47771453857422
2010-04-20,7.368682384490967,13.85558032989502,23.719755172729492
2010-04-21,7.809439659118652,13.837108612060547,23.69705581665039
2010-04-22,8.027856826782227,13.65637493133545,23.74243927001953
2010-04-23,8.159211158752441,13.604700088500977,23.417198181152344
2010-04-26,8.119142532348633,13.271441459655762,23.530662536621094
2010-04-27,7.8943963050842285,13.207037925720215,23.334007263183594
2010-04-28,7.881137371063232,13.210282325744629,23.379390716552734
2010-04-29,8.093234062194824,13.280428886413574,23.44745635986328
2010-04-30,7.865778923034668,13.123160362243652,23.09952735900879
2010-05-03,8.02424144744873,13.24548053741455,23.341569900512695
2010-05-04,7.793172359466553,12.64062213897705,22.789417266845703
2010-05-05,7.712132453918457,12.725247383117676,22.57763671875
2010-05-06,7.418698310852051,12.448404312133789,21.91958999633789
2010-05-07,7.105679988861084,12.310359001159668,21.337181091308594
2010-05-10,7.651875019073486,13.022059440612793,21.88932991027832
2010-05-11,7.728097438812256,12.707523345947266,21.843944549560547
